fuente;numero victima;municipio id;municipio nombre;fecha hecho;hora hecho;momento hecho;edad;sexo;clase victima;vehiculo victima;tipo via;tipo incidente;clima
Egresos hospitalarios;2-2017-1293;;;14/12/2016;Sin especificar;Sin especificar;75;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1;60412;José C. Paz;01/01/2017;7:10:00;Diurno;21;Masculino;Conductor;Vehículo;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-1039;60412;José C. Paz;01/01/2017;6:05:00;Nocturno;22;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-2;60412;José C. Paz;01/01/2017;7:10:00;Diurno;42;Masculino;Conductor;Vehículo;Ruta provincial;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-592;60098;Berisso;01/01/2017;1:40:00;Nocturno;18;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-696;60056;Bahía Blanca;01/01/2017;8:00:00;Diurno;19;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Egresos hospitalarios;2-2017-1282;60778;San Vicente;01/01/2017;Sin especificar;Sin especificar;22;Masculino;Sin especificar;Sin especificar;Sin especificar;Sin especificar;Sin especificar
Reparos;3-2017-1325;;;01/01/2017;19:30:00;Nocturno;24;Masculino;Ocupante de vehículo sin especificar;Motocicleta;Calle;Sin especificar;Sin especificar
Reparos;3-2017-1364;60056;Bahía Blanca;01/01/2017;19:30:00;Nocturno;78;Femenino;Peatón;Peatón;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-170;;;02/01/2017;7:30:00;Diurno;18;Masculino;Acompañante;Motocicleta;Calle;Vuelco/Despiste;Sin especificar
Ministerio de Seguridad;1-2017-502;60063;Balcarce;02/01/2017;13:30:00;Diurno;19;Masculino;Conductor;Motocicleta;Calle;Colisión vehículo/Vehículo;Bueno
Ministerio de Seguridad;1-2017-987;60063;Balcarce;02/01/2017;12:00:00;Diurno;23;Masculino;Conductor;Sin especificar;Calle;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-1040;60218;Chascomús;03/01/2017;10:30:00;Diurno;26;Masculino;Sin especificar;Motocicleta;Calle;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-200;60274;Florencio Varela;03/01/2017;7:40:00;Diurno;68;Masculino;Conductor;Bicicleta;Ruta provincial;Colisión vehículo/Vehículo;Sin especificar
Ministerio de Seguridad;1-2017-786;;;03/01/2017;20:00:00;Nocturno;62;Masculino;Conductor;Sin especificar;Ruta provincial;Sin especificar;Sin especificar
Ministerio de Seguridad;1-2017-220;60274;Florencio Varela;04/01/2017;21:45:00;Nocturno;86;Masculino;Conductor;Camioneta;Calle;Colisión vehículo/Objeto;Bueno
